,loss,accuracy,dice_coef,jacard_coef,val_loss,val_accuracy,val_dice_coef,val_jacard_coef
0,0.07429184764623642,0.9130613207817078,0.16725042462348938,0.09229760617017746,0.20690779387950897,0.9409227967262268,0.034145504236221313,0.017399189993739128
1,0.024256793782114983,0.9741373062133789,0.23792032897472382,0.13638681173324585,0.07857275009155273,0.9409213662147522,0.0851476788520813,0.0445997416973114
2,0.017280053347349167,0.9782319664955139,0.2861483693122864,0.16862770915031433,0.04312289133667946,0.9428805708885193,0.19098973274230957,0.10657333582639694
3,0.013921080157160759,0.9810645580291748,0.32497453689575195,0.19587315618991852,0.019198520109057426,0.975446343421936,0.3188439905643463,0.1918383240699768
4,0.01175724994391203,0.9835114479064941,0.35692813992500305,0.21939785778522491,0.010958193801343441,0.9850415587425232,0.4172009527683258,0.26678502559661865
5,0.010119049809873104,0.9855817556381226,0.3864981234073639,0.2421148270368576,0.00859958678483963,0.9879027605056763,0.4194345772266388,0.26848509907722473
6,0.007278815843164921,0.9900558590888977,0.42567524313926697,0.2739863395690918,0.024623066186904907,0.9656000137329102,0.30209481716156006,0.1792411208152771
7,0.005756815895438194,0.991939902305603,0.4590332806110382,0.30254408717155457,0.008464794605970383,0.9879128336906433,0.4346243441104889,0.2801412343978882
8,0.004985969513654709,0.992824912071228,0.48588186502456665,0.3259961009025574,0.0175771526992321,0.980059027671814,0.41023173928260803,0.26034414768218994
9,0.004372057970613241,0.993659496307373,0.5088635683059692,0.34670737385749817,0.005386310629546642,0.9925345778465271,0.5172302722930908,0.3524034023284912
10,0.006247565150260925,0.9906413555145264,0.5005342960357666,0.33934709429740906,0.03909251466393471,0.9664874076843262,0.4468197226524353,0.2915433645248413
11,0.004648413509130478,0.9930452704429626,0.5255317687988281,0.36172914505004883,0.006449912674725056,0.9913211464881897,0.5187738537788391,0.35380005836486816
12,0.0036817179061472416,0.9945136904716492,0.5508489608764648,0.38605672121047974,0.004867039620876312,0.9930285811424255,0.564298152923584,0.3971787989139557
13,0.0033919482957571745,0.9949061870574951,0.5663885474205017,0.4011584222316742,0.005458037368953228,0.992803156375885,0.598817765712738,0.4317503273487091
14,0.003164855996146798,0.9951809644699097,0.5810271501541138,0.41572514176368713,0.004346199333667755,0.9939905405044556,0.6112521290779114,0.44446370005607605
15,0.0029481197707355022,0.9954655766487122,0.5943596363067627,0.42916685342788696,0.0040615396574139595,0.9942257404327393,0.6175254583358765,0.4509042203426361
16,0.0028254708740860224,0.9956236481666565,0.605574905872345,0.44074729084968567,0.004128970671445131,0.9941902756690979,0.6257405877113342,0.45950523018836975
17,0.002698394702747464,0.995795726776123,0.6168038845062256,0.45242980122566223,0.004164230078458786,0.9940595030784607,0.6447881460189819,0.48007673025131226
18,0.0036816480569541454,0.9944375157356262,0.6056434512138367,0.44125598669052124,0.005040214862674475,0.9926533699035645,0.5979672074317932,0.4299757182598114
19,0.002799060894176364,0.9956102967262268,0.628114640712738,0.4644092321395874,0.003935209475457668,0.9945303201675415,0.6376739144325256,0.47218257188796997
20,0.002625220688059926,0.9958106875419617,0.6412269473075867,0.4783886671066284,0.004130168817937374,0.994579017162323,0.6562966108322144,0.49275439977645874
21,0.002510822843760252,0.9959900379180908,0.6492047905921936,0.48711809515953064,0.004300828091800213,0.9945351481437683,0.6693459153175354,0.5073827505111694
22,0.0025310395285487175,0.9959025979042053,0.6555688977241516,0.494008332490921,0.0053849187679588795,0.993964672088623,0.6808996200561523,0.5205844044685364
23,0.006629015784710646,0.9908801913261414,0.6025610566139221,0.44154366850852966,13.619192123413086,0.07686015218496323,0.08672463893890381,0.04558178037405014
24,0.006162091623991728,0.9909434914588928,0.5721668004989624,0.4063608646392822,0.007503887172788382,0.989607572555542,0.5572079420089722,0.3895489573478699
25,0.0033789032604545355,0.9947814345359802,0.6354749202728271,0.47177067399024963,0.004387817811220884,0.9937029480934143,0.6137310862541199,0.446099191904068
26,0.002842522459104657,0.9955414533615112,0.6556702256202698,0.4937945306301117,0.0035945517010986805,0.9946482181549072,0.6654933094978333,0.5024144053459167
27,0.0024643223732709885,0.9960823655128479,0.6704553365707397,0.5105051398277283,0.003943753894418478,0.9945638179779053,0.6921898722648621,0.5332543253898621
28,0.0022794753313064575,0.9963527917861938,0.6812729239463806,0.5228798985481262,0.00382377696223557,0.994880199432373,0.7014803886413574,0.5440849661827087
29,0.002128762658685446,0.9965850114822388,0.6914501786231995,0.5347508788108826,0.003969044424593449,0.9948827028274536,0.7046392560005188,0.5479250550270081
30,0.002149498090147972,0.9965271949768066,0.6971789598464966,0.5414616465568542,0.005267533008009195,0.9938003420829773,0.7185269594192505,0.5646864175796509
31,0.0024411126505583525,0.9961128234863281,0.6955119371414185,0.5393628478050232,0.005712199956178665,0.9930512309074402,0.696552038192749,0.5382954478263855
32,0.002634478500112891,0.9958584904670715,0.6928123235702515,0.5359141826629639,0.004390280693769455,0.9945172667503357,0.7225124835968018,0.5693470239639282
33,0.002424097154289484,0.9961079359054565,0.7031581401824951,0.5480574369430542,0.004422327503561974,0.9946824908256531,0.7142521739006042,0.5595167279243469
34,0.0023143915459513664,0.9962709546089172,0.7100427150726318,0.5561918616294861,0.007268734276294708,0.9909093379974365,0.653800904750824,0.4924915134906769
35,0.0022712652571499348,0.9964219331741333,0.7135726809501648,0.5604221820831299,0.004717099480330944,0.9942578673362732,0.6879372596740723,0.5284758806228638
36,0.001977403648197651,0.9968125224113464,0.7247676849365234,0.5740667581558228,0.004203297197818756,0.9947344064712524,0.7321262955665588,0.581205427646637
37,0.0017797282198444009,0.9971221089363098,0.7332422733306885,0.5846325159072876,0.004433399997651577,0.9945530891418457,0.7495935559272766,0.6028534770011902
38,0.0017192248487845063,0.9972050189971924,0.7380051016807556,0.5906442999839783,0.005361661780625582,0.9937402606010437,0.7541336417198181,0.6083883047103882
39,0.0017927373992279172,0.9971120357513428,0.7394047379493713,0.5923271179199219,0.005990135949105024,0.9934433698654175,0.7688626646995544,0.6275017857551575
40,0.001891545602120459,0.9969741702079773,0.7400843501091003,0.5930915474891663,0.006096780765801668,0.9934438467025757,0.7791873216629028,0.6411731243133545
41,0.0022157549392431974,0.9965245127677917,0.7324146032333374,0.5839937925338745,0.006407610140740871,0.9934119582176208,0.7771961688995361,0.6384896039962769
42,0.0015882813604548573,0.9974176287651062,0.7554889917373657,0.6127030253410339,0.004536679480224848,0.9946327805519104,0.7738675475120544,0.6342148184776306
43,0.001538668293505907,0.9975020289421082,0.7620807886123657,0.6213338375091553,0.004433601628988981,0.9949839115142822,0.7749021649360657,0.635704755783081
44,0.0016088640550151467,0.997370183467865,0.7647383213043213,0.6247129440307617,0.0057547991164028645,0.9936161637306213,0.7709366083145142,0.6304081082344055
45,0.001696793013252318,0.9972232580184937,0.7646162509918213,0.6243759989738464,0.005390993785113096,0.9942321181297302,0.7960337400436401,0.6638139486312866
46,0.001635426189750433,0.9973284006118774,0.7655696868896484,0.6255897283554077,0.00528493570163846,0.9945613145828247,0.7830960154533386,0.6465547680854797
47,0.0014861100353300571,0.9975709319114685,0.7729653716087341,0.6353967189788818,0.0051691667176783085,0.994965672492981,0.7662287354469299,0.624640166759491
48,0.001499240635894239,0.9975863695144653,0.7755682468414307,0.6389029622077942,0.005282503552734852,0.9946948289871216,0.7518322467803955,0.6061998605728149
49,0.0014811893925070763,0.9975972175598145,0.7773715257644653,0.6413032412528992,0.005007508676499128,0.9950399398803711,0.7729339599609375,0.633358895778656
